id,title,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts89259,The Queen's Gambit,2020,56,8.6,420100,82.7,8.6
ts81120,The Last Dance,2020,50,9.1,115915,27.7,8.2
ts235758,Never Have I Ever,2020,28,7.8,47000,47.8,8.2
tm863808,My Octopus Teacher,2020,84,8.1,52771,19.3,8.0
ts219660,Alice in Borderland,2020,47,7.6,49446,71.0,8.2
tm847085,The Social Dilemma,2020,94,7.6,80916,20.4,7.5
ts222333,Arcane,2021,41,9.0,186899,106.5,9.1
ts220305,Squid Game,2021,55,8.0,426967,361.9,7.8
ts223537,Maid,2021,54,8.4,77885,0.6,8.0
ts87242,Shadow and Bone,2021,52,7.6,80009,28.1,8.2
ts311985,Inside Job,2021,28,7.6,16616,42.4,8.2
tm1038686,Bo Burnham: Inside,2021,87,8.7,44074,11.4,8.2
ts286731,Komi Can't Communicate,2021,24,7.8,5462,132.8,8.3
ts296472,The Chestnut Man,2021,55,7.7,42817,49.6,7.7
tm1228854,Bill Burr: Live at Red Rocks,2022,82,7.8,1281,16.1,6.9
ts217231,Heartstopper,2022,28,8.7,45476,165.7,9.0
ts312082,Alchemy of Souls,2022,80,8.6,878,108.7,8.0
ts342732,Our Great National Parks,2022,52,7.9,1684,2.6,7.9
ts345200,Borgen - Power & Glory,2022,57,8.2,165,4.7,8.4
tm996762,Major,2022,149,9.1,7576,6.4,8.2
tm1209228,Norm Macdonald: Nothing Special,2022,87,7.6,1466,4.1,6.2
tm1204402,Ricky Gervais: SuperNature,2022,64,7.8,3256,7.5,7.4
ts349630,Love on the Spectrum U.S.,2022,41,8.2,1097,2.9,6.7
ts356951,Hurts Like Hell,2022,50,8.4,83,8.4,9.1
ts311989,jeen-yuhs,2022,93,8.0,8319,3.9,7.1
